experiment,condition_id,context,fragment_names,n_fragments,active_fragments,n_active_fragments,cue_stanchions,cue_waiting_area,cue_service_sign,cue_social_density,n_primitives,primitive_set,sequence,sequence_length,backbone_length,total_VFE,mean_VFE,max_VFE,total_EFE,efe_rate,per_transition_VFE,n_obligatory,n_advancing,n_returning,topology_density,inferred_context,belief_confidence,belief_entropy,belief_reception,belief_corridor,belief_hospital,effective_affinities,weighted_scores,primitive_weights,D_KL_from_baseline
exp1,exp1_reception_0000,reception,"observe_scene,approach_service",2,"observe_scene,approach_service",2,0,0,0,0,4,"approach-counter,gaze-at-agent,gaze-scan,scan-environment",approach-counter -> gaze-at-agent -> scan-environment -> gaze-scan,4,3,6.907755,2.302585,2.302585,4.620156,1.155039,2.302585,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""approach_service"": 0.896072}","{""observe_scene"": 0.09, ""approach_service"": 0.09}","{""scan-environment"": 0.045, ""gaze-scan"": 0.045, ""gaze-at-agent"": 0.045, ""approach-counter"": 0.045}",0.0
exp1,exp1_reception_1000,reception,"observe_scene,approach_service,queue_position",3,"observe_scene,approach_service,queue_position",3,1,0,0,0,6,"approach-counter,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,yield-pass",scan-environment -> position-in-queue -> approach-counter -> gaze-at-agent -> gaze-scan -> yield-pass,6,4,9.21034,1.842068,2.302585,9.398117,1.566353,1.842068,2,4,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""approach_service"": 0.896072, ""queue_position"": 0.799894}","{""approach_service"": 0.087977, ""observe_scene"": 0.087974, ""queue_position"": 0.084064}","{""gaze-at-agent"": 0.043988, ""approach-counter"": 0.043988, ""scan-environment"": 0.043987, ""gaze-scan"": 0.043987, ""yield-pass"": 0.042032, ""position-in-queue"": 0.042032}",0.0
exp1,exp1_reception_0100,reception,"observe_scene,approach_service,wait_patiently",3,"observe_scene,approach_service,wait_patiently",3,0,1,0,0,6,"approach-counter,gaze-at-agent,gaze-scan,scan-environment,wait-acknowledge,wait-for-turn",gaze-at-agent -> wait-acknowledge -> approach-counter -> scan-environment -> gaze-scan -> wait-for-turn,6,4,9.21034,1.842068,2.302585,8.833977,1.47233,1.842068,0,4,2,1.0,reception,0.966898,0.147963,0.966898,0.000501,0.032601,"{""observe_scene"": 0.898119, ""approach_service"": 0.896489, ""wait_patiently"": 0.70805}","{""approach_service"": 0.085978, ""observe_scene"": 0.085971, ""wait_patiently"": 0.078131}","{""gaze-at-agent"": 0.042989, ""approach-counter"": 0.042989, ""scan-environment"": 0.042986, ""gaze-scan"": 0.042986, ""wait-acknowledge"": 0.039066, ""wait-for-turn"": 0.039066}",0.0
exp1,exp1_reception_1100,reception,"observe_scene,approach_service,queue_position,wait_patiently",4,"observe_scene,approach_service,queue_position,wait_patiently",4,1,1,0,0,8,"approach-counter,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,wait-acknowledge,wait-for-turn,yield-pass",scan-environment -> position-in-queue -> wait-for-turn -> approach-counter -> gaze-at-agent -> gaze-scan -> yield-pass -> wait-acknowledge,8,5,9.21034,1.315763,2.302585,13.52758,1.690948,1.315763,2,5,3,1.0,reception,0.966898,0.147963,0.966898,0.000501,0.032601,"{""observe_scene"": 0.898119, ""approach_service"": 0.896489, ""queue_position"": 0.80301, ""wait_patiently"": 0.70805}","{""approach_service"": 0.085861, ""observe_scene"": 0.085856, ""queue_position"": 0.081405, ""wait_patiently"": 0.076945}","{""gaze-at-agent"": 0.042931, ""approach-counter"": 0.042931, ""scan-environment"": 0.042928, ""gaze-scan"": 0.042928, ""yield-pass"": 0.040702, ""position-in-queue"": 0.040702, ""wait-acknowledge"": 0.038472, ""wait-for-turn"": 0.038472}",0.0
exp1,exp1_reception_0010,reception,"observe_scene,approach_service,direct_approach",3,"observe_scene,approach_service,direct_approach",3,0,0,1,0,5,"approach-counter,engage-staff,gaze-at-agent,gaze-scan,scan-environment",gaze-scan -> approach-counter -> engage-staff -> gaze-at-agent -> scan-environment,5,4,2.302585,0.575646,2.302585,5.181162,1.036232,0.575646,0,4,1,1.0,reception,0.980806,0.103981,0.980806,0.003486,0.015709,"{""observe_scene"": 0.897472, ""approach_service"": 0.896686, ""direct_approach"": 0.934819}","{""direct_approach"": 0.09297, ""approach_service"": 0.09108, ""observe_scene"": 0.090944}","{""engage-staff"": 0.046485, ""approach-counter"": 0.092025, ""gaze-at-agent"": 0.04554, ""scan-environment"": 0.045472, ""gaze-scan"": 0.045472}",0.0
exp1,exp1_reception_1010,reception,"observe_scene,approach_service,queue_position,direct_approach",4,"observe_scene,approach_service,queue_position,direct_approach",4,1,0,1,0,7,"approach-counter,engage-staff,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,yield-pass",approach-counter -> engage-staff -> gaze-at-agent -> scan-environment -> gaze-scan -> yield-pass -> position-in-queue,7,5,6.907755,1.151293,2.302585,10.176111,1.45373,1.151293,2,5,2,1.0,reception,0.980806,0.103981,0.980806,0.003486,0.015709,"{""observe_scene"": 0.897472, ""approach_service"": 0.896686, ""queue_position"": 0.799828, ""direct_approach"": 0.934819}","{""direct_approach"": 0.091715, ""approach_service"": 0.089448, ""observe_scene"": 0.089184, ""queue_position"": 0.084782}","{""engage-staff"": 0.045857, ""approach-counter"": 0.090581, ""gaze-at-agent"": 0.044724, ""scan-environment"": 0.044592, ""gaze-scan"": 0.044592, ""yield-pass"": 0.042391, ""position-in-queue"": 0.042391}",0.0
exp1,exp1_reception_0110,reception,"observe_scene,approach_service,wait_patiently,direct_approach",4,"observe_scene,approach_service,wait_patiently,direct_approach",4,0,1,1,0,7,"approach-counter,engage-staff,gaze-at-agent,gaze-scan,scan-environment,wait-acknowledge,wait-for-turn",wait-for-turn -> gaze-scan -> approach-counter -> gaze-at-agent -> engage-staff -> scan-environment -> wait-acknowledge,7,5,9.21034,1.535057,2.302585,10.447938,1.492563,1.535057,0,5,2,1.0,reception,0.972714,0.127405,0.972714,0.000434,0.026852,"{""observe_scene"": 0.898441, ""approach_service"": 0.897098, ""wait_patiently"": 0.706626, ""direct_approach"": 0.928193}","{""direct_approach"": 0.090634, ""approach_service"": 0.088172, ""observe_scene"": 0.087771, ""wait_patiently"": 0.078941}","{""engage-staff"": 0.045317, ""approach-counter"": 0.089403, ""gaze-at-agent"": 0.044086, ""scan-environment"": 0.043886, ""gaze-scan"": 0.043886, ""wait-acknowledge"": 0.03947, ""wait-for-turn"": 0.03947}",0.0
exp1,exp1_reception_1110,reception,"observe_scene,approach_service,queue_position,wait_patiently,direct_approach",5,"observe_scene,approach_service,queue_position,wait_patiently,direct_approach",5,1,1,1,0,9,"approach-counter,engage-staff,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,wait-acknowledge,wait-for-turn,yield-pass",scan-environment -> position-in-queue -> wait-for-turn -> gaze-scan -> approach-counter -> gaze-at-agent -> engage-staff -> yield-pass -> wait-acknowledge,9,6,9.21034,1.151293,2.302585,15.310073,1.701119,1.151293,2,6,3,1.0,reception,0.972714,0.127405,0.972714,0.000434,0.026852,"{""observe_scene"": 0.898441, ""approach_service"": 0.897098, ""queue_position"": 0.802468, ""wait_patiently"": 0.706626, ""direct_approach"": 0.928193}","{""direct_approach"": 0.090141, ""approach_service"": 0.087569, ""observe_scene"": 0.08722, ""queue_position"": 0.082485, ""wait_patiently"": 0.077757}","{""engage-staff"": 0.04507, ""approach-counter"": 0.088855, ""gaze-at-agent"": 0.043784, ""scan-environment"": 0.04361, ""gaze-scan"": 0.04361, ""yield-pass"": 0.041242, ""position-in-queue"": 0.041242, ""wait-acknowledge"": 0.038878, ""wait-for-turn"": 0.038878}",0.0
exp1,exp1_reception_0001,reception,"observe_scene,approach_service,courtesy_space",3,"observe_scene,approach_service",2,0,0,0,1,4,"approach-counter,gaze-at-agent,gaze-scan,scan-environment",approach-counter -> gaze-at-agent -> scan-environment -> gaze-scan,4,3,6.907755,2.302585,2.302585,4.620156,1.155039,2.302585,0,3,1,1.0,reception,0.957206,0.177961,0.957206,0.000193,0.042601,"{""observe_scene"": 0.897773, ""approach_service"": 0.895643, ""courtesy_space"": 0.312877}","{""observe_scene"": 0.09, ""approach_service"": 0.09}","{""scan-environment"": 0.045, ""gaze-scan"": 0.045, ""gaze-at-agent"": 0.045, ""approach-counter"": 0.045}",0.0
exp1,exp1_reception_1001,reception,"observe_scene,approach_service,queue_position,courtesy_space",4,"observe_scene,approach_service,queue_position",3,1,0,0,1,6,"approach-counter,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,yield-pass",scan-environment -> position-in-queue -> approach-counter -> gaze-at-agent -> gaze-scan -> yield-pass,6,4,9.21034,1.842068,2.302585,9.398117,1.566353,1.842068,2,4,2,1.0,reception,0.957206,0.177961,0.957206,0.000193,0.042601,"{""observe_scene"": 0.897773, ""approach_service"": 0.895643, ""queue_position"": 0.804164, ""courtesy_space"": 0.312877}","{""approach_service"": 0.087977, ""observe_scene"": 0.087974, ""queue_position"": 0.084064}","{""gaze-at-agent"": 0.043988, ""approach-counter"": 0.043988, ""scan-environment"": 0.043987, ""gaze-scan"": 0.043987, ""yield-pass"": 0.042032, ""position-in-queue"": 0.042032}",0.0
exp1,exp1_reception_0101,reception,"observe_scene,approach_service,wait_patiently,courtesy_space",4,"observe_scene,approach_service,wait_patiently",3,0,1,0,1,6,"approach-counter,gaze-at-agent,gaze-scan,scan-environment,wait-acknowledge,wait-for-turn",gaze-at-agent -> wait-acknowledge -> approach-counter -> scan-environment -> gaze-scan -> wait-for-turn,6,4,9.21034,1.842068,2.302585,8.833977,1.47233,1.842068,0,4,2,1.0,reception,0.924953,0.266826,0.924953,3.8e-05,0.075009,"{""observe_scene"": 0.896231, ""approach_service"": 0.89248, ""wait_patiently"": 0.718745, ""courtesy_space"": 0.322522}","{""approach_service"": 0.085978, ""observe_scene"": 0.085971, ""wait_patiently"": 0.078131}","{""gaze-at-agent"": 0.042989, ""approach-counter"": 0.042989, ""scan-environment"": 0.042986, ""gaze-scan"": 0.042986, ""wait-acknowledge"": 0.039066, ""wait-for-turn"": 0.039066}",0.0
exp1,exp1_reception_1101,reception,"observe_scene,approach_service,queue_position,wait_patiently,courtesy_space",5,"observe_scene,approach_service,queue_position,wait_patiently",4,1,1,0,1,8,"approach-counter,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,wait-acknowledge,wait-for-turn,yield-pass",scan-environment -> position-in-queue -> wait-for-turn -> approach-counter -> gaze-at-agent -> gaze-scan -> yield-pass -> wait-acknowledge,8,5,9.21034,1.315763,2.302585,13.52758,1.690948,1.315763,2,5,3,1.0,reception,0.924953,0.266826,0.924953,3.8e-05,0.075009,"{""observe_scene"": 0.896231, ""approach_service"": 0.89248, ""queue_position"": 0.807482, ""wait_patiently"": 0.718745, ""courtesy_space"": 0.322522}","{""approach_service"": 0.085861, ""observe_scene"": 0.085856, ""queue_position"": 0.081405, ""wait_patiently"": 0.076945}","{""gaze-at-agent"": 0.042931, ""approach-counter"": 0.042931, ""scan-environment"": 0.042928, ""gaze-scan"": 0.042928, ""yield-pass"": 0.040702, ""position-in-queue"": 0.040702, ""wait-acknowledge"": 0.038472, ""wait-for-turn"": 0.038472}",0.0
