experiment,condition_id,context,fragment_names,n_fragments,active_fragments,n_active_fragments,cue_stanchions,cue_waiting_area,cue_service_sign,cue_social_density,n_primitives,primitive_set,sequence,sequence_length,backbone_length,total_VFE,mean_VFE,max_VFE,total_EFE,efe_rate,per_transition_VFE,n_obligatory,n_advancing,n_returning,topology_density,inferred_context,belief_confidence,belief_entropy,belief_reception,belief_corridor,belief_hospital,effective_affinities,weighted_scores,primitive_weights,D_KL_from_baseline
exp2,exp2_reception_k1_observe_scene,reception,observe_scene,1,observe_scene,1,0,0,0,0,2,"gaze-scan,scan-environment",gaze-scan -> scan-environment,2,1,0.0,0.0,-0.0,6.214608,3.107304,0.0,0,1,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028}","{""observe_scene"": 0.050625}","{""gaze-scan"": 0.025313, ""scan-environment"": 0.025313}",0.0
exp2,exp2_reception_k1_queue_position,reception,queue_position,1,queue_position,1,0,0,0,0,2,"position-in-queue,yield-pass",yield-pass -> position-in-queue,2,1,0.0,0.0,-0.0,4.017384,2.008692,0.0,2,1,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894}","{""queue_position"": 0.045}","{""position-in-queue"": 0.0225, ""yield-pass"": 0.0225}",0.0
exp2,exp2_reception_k1_wait_patiently,reception,wait_patiently,1,wait_patiently,1,0,0,0,0,2,"wait-acknowledge,wait-for-turn",wait-acknowledge -> wait-for-turn,2,1,0.0,0.0,-0.0,4.35831,2.179155,0.0,0,1,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""wait_patiently"": 0.703971}","{""wait_patiently"": 0.039375}","{""wait-acknowledge"": 0.019687, ""wait-for-turn"": 0.019687}",0.0
exp2,exp2_reception_k1_approach_service,reception,approach_service,1,approach_service,1,0,0,0,0,2,"approach-counter,gaze-at-agent",approach-counter -> gaze-at-agent,2,2,0.0,0.0,-0.0,0.05056,0.02528,0.0,0,2,0,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""approach_service"": 0.896072}","{""approach_service"": 0.050625}","{""approach-counter"": 0.025313, ""gaze-at-agent"": 0.025313}",0.0
exp2,exp2_reception_k1_courtesy_space,reception,courtesy_space,1,,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,4.60517,4.60517,0.0,0,0,0,0.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""courtesy_space"": 0.307749}",{},{},0.0
exp2,exp2_reception_k1_direct_approach,reception,direct_approach,1,direct_approach,1,0,0,0,0,2,"approach-counter,engage-staff",approach-counter -> engage-staff,2,2,0.0,0.0,-0.0,0.05056,0.02528,0.0,0,2,0,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""direct_approach"": 0.931688}","{""direct_approach"": 0.053438}","{""approach-counter"": 0.026719, ""engage-staff"": 0.026719}",0.0
exp2,exp2_reception_k2_observe_scene_queue_position,reception,"observe_scene,queue_position",2,"observe_scene,queue_position",2,0,0,0,0,4,"gaze-scan,position-in-queue,scan-environment,yield-pass",scan-environment -> gaze-scan -> position-in-queue -> yield-pass,4,2,4.60517,1.535057,2.302585,12.237448,3.059362,1.535057,2,2,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""queue_position"": 0.799894}","{""observe_scene"": 0.08625, ""queue_position"": 0.08375}","{""gaze-scan"": 0.043125, ""scan-environment"": 0.043125, ""position-in-queue"": 0.041875, ""yield-pass"": 0.041875}",0.0
exp2,exp2_reception_k2_observe_scene_wait_patiently,reception,"observe_scene,wait_patiently",2,"observe_scene,wait_patiently",2,0,0,0,0,4,"gaze-scan,scan-environment,wait-acknowledge,wait-for-turn",gaze-scan -> wait-acknowledge -> scan-environment -> wait-for-turn,4,2,4.60517,1.535057,2.302585,12.578375,3.144594,1.535057,0,2,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""wait_patiently"": 0.703971}","{""observe_scene"": 0.0825, ""wait_patiently"": 0.0775}","{""gaze-scan"": 0.04125, ""scan-environment"": 0.04125, ""wait-acknowledge"": 0.03875, ""wait-for-turn"": 0.03875}",0.0
exp2,exp2_reception_k2_observe_scene_approach_service,reception,"observe_scene,approach_service",2,"observe_scene,approach_service",2,0,0,0,0,4,"approach-counter,gaze-at-agent,gaze-scan,scan-environment",gaze-scan -> approach-counter -> scan-environment -> gaze-at-agent,4,3,4.60517,1.535057,2.302585,8.803151,2.200788,1.535057,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""approach_service"": 0.896072}","{""observe_scene"": 0.09, ""approach_service"": 0.09}","{""gaze-scan"": 0.045, ""scan-environment"": 0.045, ""approach-counter"": 0.045, ""gaze-at-agent"": 0.045}",0.0
exp2,exp2_reception_k2_observe_scene_courtesy_space,reception,"observe_scene,courtesy_space",2,observe_scene,1,0,0,0,0,2,"gaze-scan,scan-environment",gaze-scan -> scan-environment,2,1,0.0,0.0,-0.0,6.214608,3.107304,0.0,0,1,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""courtesy_space"": 0.307749}","{""observe_scene"": 0.050625}","{""gaze-scan"": 0.025313, ""scan-environment"": 0.025313}",0.0
